SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,NAME,,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
40,12,0,0,0,0,Florida,Florida,,18801310,18801311,18838613,19057542
162,12,0,375,0,0,Alachua,CITY,Florida,9059,9060,9062,9139
162,12,0,625,0,0,Alford,TOWN,Florida,489,489,488,483
162,12,0,950,0,0,Altamonte Springs,CITY,Florida,41496,41496,41544,41727
162,12,0,1000,0,0,Altha,TOWN,Florida,536,536,537,541
162,12,0,1475,0,0,Anna Maria,CITY,Florida,1503,1503,1506,1524
162,12,0,1625,0,0,Apalachicola,CITY,Florida,2231,2231,2236,2242
162,12,0,1700,0,0,Apopka,CITY,Florida,41542,41604,41709,42467
162,12,0,1750,0,0,Arcadia,CITY,Florida,7637,7637,7657,7643
162,12,0,1775,0,0,Archer,CITY,Florida,1118,1118,1119,1128
162,12,0,2250,0,0,Astatula,TOWN,Florida,1810,1810,1814,1836
162,12,0,2400,0,0,Atlantic Beach,CITY,Florida,12655,12655,12672,12751
162,12,0,2500,0,0,Atlantis,CITY,Florida,2005,2005,2009,2029
162,12,0,2550,0,0,Auburndale,CITY,Florida,13507,13507,13525,13675
162,12,0,2681,0,0,Aventura,CITY,Florida,35762,35762,35858,36610
162,12,0,2750,0,0,Avon Park,CITY,Florida,8836,8838,8834,8825
162,12,0,3250,0,0,Baldwin,TOWN,Florida,1425,1425,1426,1437
162,12,0,3275,0,0,Bal Harbour,VILLAGE,Florida,2513,2514,2521,2574
162,12,0,3675,0,0,Bartow,CITY,Florida,17298,17298,17321,17501
162,12,0,3725,0,0,Bascom,TOWN,Florida,121,121,121,120
162,12,0,3975,0,0,Bay Harbor Islands,TOWN,Florida,5628,5628,5644,5762
162,12,0,4150,0,0,Bay Lake,CITY,Florida,47,47,47,48
162,12,0,4975,0,0,Bell,TOWN,Florida,456,456,459,459
162,12,0,5075,0,0,Belleair,TOWN,Florida,3869,3869,3867,3872
162,12,0,5100,0,0,Belleair Beach,CITY,Florida,1560,1560,1559,1561
162,12,0,5125,0,0,Belleair Bluffs,CITY,Florida,2031,2031,2030,2032
162,12,0,5150,0,0,Belleair Shore,TOWN,Florida,109,109,109,109
162,12,0,5200,0,0,Belle Glade,CITY,Florida,17467,17467,17505,17667
162,12,0,5300,0,0,Belle Isle,CITY,Florida,5988,5988,6004,6111
162,12,0,5375,0,0,Belleview,CITY,Florida,4492,4492,4494,4509
162,12,0,6100,0,0,Beverly Beach,TOWN,Florida,338,338,339,344
162,12,0,6600,0,0,Biscayne Park,VILLAGE,Florida,3055,3055,3062,3126
162,12,0,6925,0,0,Blounts Town,CITY,Florida,2514,2501,2502,2523
162,12,0,7300,0,0,Boca Raton,CITY,Florida,84392,84392,84566,85329
162,12,0,7450,0,0,Bonifay,CITY,Florida,2793,2804,2794,2796
162,12,0,7525,0,0,Bonita Springs,CITY,Florida,43914,43914,44036,44816
162,12,0,7775,0,0,Bowling Green,CITY,Florida,2930,2930,2938,2947
162,12,0,7875,0,0,Boynton Beach,CITY,Florida,68217,68217,68361,68996
162,12,0,7950,0,0,Bradenton,CITY,Florida,49546,49546,49639,50193
162,12,0,7975,0,0,Bradenton Beach,CITY,Florida,1171,1171,1173,1187
162,12,0,8175,0,0,Branford,TOWN,Florida,712,712,712,720
162,12,0,8575,0,0,Briny Breezes,TOWN,Florida,601,601,602,608
162,12,0,8600,0,0,Bristol,CITY,Florida,996,995,994,989
162,12,0,8700,0,0,Bronson,TOWN,Florida,1113,1113,1111,1096
162,12,0,8725,0,0,Brooker,TOWN,Florida,338,338,337,334
162,12,0,8800,0,0,Brooksville,CITY,Florida,7719,7721,7732,7735
162,12,0,9550,0,0,Bunnell,CITY,Florida,2676,2676,2685,2717
162,12,0,9625,0,0,Bushnell,CITY,Florida,2418,2418,2439,2524
162,12,0,9700,0,0,Callahan,TOWN,Florida,1123,1123,1126,1136
162,12,0,9725,0,0,Callaway,CITY,Florida,14405,14405,14443,14493
162,12,0,9900,0,0,Campbellton,TOWN,Florida,230,230,230,227
162,12,0,10250,0,0,Cape Canaveral,CITY,Florida,9912,9912,9921,9916
162,12,0,10275,0,0,Cape Coral,CITY,Florida,154305,154305,154734,157476
162,12,0,10725,0,0,Carrabelle,CITY,Florida,2778,2778,2780,2785
162,12,0,10975,0,0,Caryville,TOWN,Florida,411,411,411,412
162,12,0,11050,0,0,Casselberry,CITY,Florida,26241,26241,26273,26387
162,12,0,11225,0,0,Cedar Key,CITY,Florida,702,705,703,693
162,12,0,11325,0,0,Center Hill,CITY,Florida,988,988,998,1038
162,12,0,11362,0,0,Century,TOWN,Florida,1698,1698,1700,1706
162,12,0,11800,0,0,Chattahoochee,CITY,Florida,3652,3648,3650,3636
162,12,0,11925,0,0,Chiefland,CITY,Florida,2245,2245,2240,2209
162,12,0,11975,0,0,Chipley,CITY,Florida,3605,3605,3607,3611
162,12,0,12325,0,0,Cinco Bayou,TOWN,Florida,383,383,383,389
162,12,0,12875,0,0,Clearwater,CITY,Florida,107685,107685,107648,107784
162,12,0,12925,0,0,Clermont,CITY,Florida,28742,28740,28819,29126
162,12,0,13000,0,0,Clewiston,CITY,Florida,7155,7155,7156,7146
162,12,0,13050,0,0,Cloud Lake,TOWN,Florida,135,135,135,136
162,12,0,13150,0,0,Cocoa,CITY,Florida,17140,17140,17154,17147
162,12,0,13175,0,0,Cocoa Beach,CITY,Florida,11231,11231,11240,11235
162,12,0,13275,0,0,Coconut Creek,CITY,Florida,52909,52936,53061,53915
162,12,0,13400,0,0,Coleman,CITY,Florida,703,694,702,731
162,12,0,14125,0,0,Cooper City,CITY,Florida,28547,28547,28614,29076
162,12,0,14250,0,0,Coral Gables,CITY,Florida,46780,46780,46894,47783
162,12,0,14400,0,0,Coral Springs,CITY,Florida,121096,121098,121382,123338
162,12,0,14850,0,0,Cottondale,TOWN,Florida,933,933,931,923
162,12,0,15375,0,0,Crescent City,CITY,Florida,1577,1577,1576,1571
162,12,0,15475,0,0,Crestview,CITY,Florida,20978,20978,20976,21284
162,12,0,15575,0,0,Cross City,TOWN,Florida,1728,1728,1726,1735
162,12,0,15775,0,0,Crystal River,CITY,Florida,3108,3110,3111,3086
162,12,0,15968,0,0,Cutler Bay,TOWN,Florida,40286,40286,40392,41236
162,12,0,16125,0,0,Dade City,CITY,Florida,6437,6437,6449,6461
162,12,0,16335,0,0,Dania Beach,CITY,Florida,29639,29639,29709,30183
162,12,0,16450,0,0,Davenport,CITY,Florida,2888,2895,2899,2931
162,12,0,16475,0,0,Davie,TOWN,Florida,91992,91992,92205,93674
162,12,0,16525,0,0,Daytona Beach,CITY,Florida,61005,61005,61011,61028
162,12,0,16550,0,0,Daytona Beach Shores,CITY,Florida,4247,4251,4251,4253
162,12,0,16675,0,0,DeBary,CITY,Florida,19320,19315,19316,19324
162,12,0,16725,0,0,Deerfield Beach,CITY,Florida,75018,75018,75191,76389
162,12,0,16800,0,0,DeFuniak Springs,CITY,Florida,5177,5177,5202,5248
162,12,0,16875,0,0,DeLand,CITY,Florida,27031,27031,27033,27041
162,12,0,17100,0,0,Delray Beach,CITY,Florida,60522,60522,60650,61209
162,12,0,17200,0,0,Deltona,CITY,Florida,85182,85182,85191,85219
162,12,0,17325,0,0,Destin,CITY,Florida,12305,12305,12303,12489
162,12,0,17935,0,0,Doral,CITY,Florida,45704,45704,45827,46789
162,12,0,18550,0,0,Dundee,TOWN,Florida,3717,3717,3723,3764
162,12,0,18575,0,0,Dunedin,CITY,Florida,35321,35321,35308,35354
162,12,0,18675,0,0,Dunnellon,CITY,Florida,1733,1733,1734,1740
162,12,0,18875,0,0,Eagle Lake,CITY,Florida,2255,2255,2259,2283
162,12,0,19650,0,0,Eatonville,TOWN,Florida,2159,2159,2163,2199
162,12,0,19725,0,0,Ebro,TOWN,Florida,270,270,270,271
162,12,0,19825,0,0,Edgewater,CITY,Florida,20750,20753,20756,20761
162,12,0,19900,0,0,Edgewood,CITY,Florida,2503,2503,2509,2555
162,12,0,20650,0,0,El Portal,VILLAGE,Florida,2325,2325,2331,2380
162,12,0,21250,0,0,Esto,TOWN,Florida,364,364,363,362
162,12,0,21350,0,0,Eustis,CITY,Florida,18558,18558,18610,18805
162,12,0,21425,0,0,Everglades,CITY,Florida,400,400,402,408
162,12,0,21850,0,0,Fanning Springs,CITY,Florida,764,764,764,758
162,12,0,22100,0,0,Fellsmere,CITY,Florida,5197,5197,5207,5229
162,12,0,22175,0,0,Fernandina Beach,CITY,Florida,11487,11487,11517,11624
162,12,0,22550,0,0,Flagler Beach,CITY,Florida,4484,4484,4500,4563
162,12,0,22975,0,0,Florida City,CITY,Florida,11245,11245,11275,11511
162,12,0,24000,0,0,Fort Lauderdale,CITY,Florida,165521,165521,165900,168528
162,12,0,24100,0,0,Fort Meade,CITY,Florida,5626,5626,5632,5696
162,12,0,24125,0,0,Fort Myers,CITY,Florida,62298,62296,62460,63512
162,12,0,24150,0,0,Fort Myers Beach,TOWN,Florida,6277,6277,6294,6406
162,12,0,24300,0,0,Fort Pierce,CITY,Florida,41590,41606,41746,41993
162,12,0,24475,0,0,Fort Walton Beach,CITY,Florida,19507,19507,19505,19793
162,12,0,24500,0,0,Fort White,TOWN,Florida,567,567,567,566
162,12,0,24825,0,0,Freeport,CITY,Florida,1787,1787,1795,1812
162,12,0,24900,0,0,Frostproof,CITY,Florida,2992,2992,2997,3030
162,12,0,24975,0,0,Fruitland Park,CITY,Florida,4078,4078,4090,4132
162,12,0,25175,0,0,Gainesville,CITY,Florida,124354,124354,124394,125326
162,12,0,26050,0,0,Glen Ridge,TOWN,Florida,219,219,219,220
162,12,0,26075,0,0,Glen St. Mary,TOWN,Florida,437,439,438,440
162,12,0,26250,0,0,Golden Beach,TOWN,Florida,919,919,921,940
162,12,0,26550,0,0,Golf,VILLAGE,Florida,252,252,252,255
162,12,0,27000,0,0,Graceville,CITY,Florida,2278,2278,2275,2258
162,12,0,27175,0,0,Grand Ridge,TOWN,Florida,892,895,894,885
162,12,0,27256,0,0,Grant-Valkaria,TOWN,Florida,3850,3850,3854,3851
162,12,0,27322,0,0,Greenacres,CITY,Florida,37573,37573,37655,38009
162,12,0,27400,0,0,Green Cove Springs,CITY,Florida,6908,6908,6927,6958
162,12,0,27550,0,0,Greensboro,TOWN,Florida,602,645,645,642
162,12,0,27575,0,0,Greenville,TOWN,Florida,843,835,835,830
162,12,0,27600,0,0,Greenwood,TOWN,Florida,686,686,685,678
162,12,0,27650,0,0,Gretna,CITY,Florida,1460,1459,1459,1452
162,12,0,27800,0,0,Groveland,CITY,Florida,8729,8729,8752,8846
162,12,0,28000,0,0,Gulf Breeze,CITY,Florida,5763,5763,5788,5870
162,12,0,28175,0,0,Gulfport,CITY,Florida,12029,12029,12026,12041
162,12,0,28275,0,0,Gulf Stream,TOWN,Florida,786,786,788,795
162,12,0,28400,0,0,Haines City,CITY,Florida,20535,20552,20579,20807
162,12,0,28452,0,0,Hallandale Beach,CITY,Florida,37113,37113,37200,37800
162,12,0,28575,0,0,Hampton,CITY,Florida,500,500,499,496
162,12,0,29100,0,0,Hastings,TOWN,Florida,580,580,584,598
162,12,0,29150,0,0,Havana,TOWN,Florida,1754,1753,1754,1743
162,12,0,29200,0,0,Haverhill,TOWN,Florida,1873,1873,1878,1896
162,12,0,29275,0,0,Hawthorne,CITY,Florida,1417,1417,1418,1428
162,12,0,30000,0,0,Hialeah,CITY,Florida,224669,224669,225269,229969
162,12,0,30025,0,0,Hialeah Gardens,CITY,Florida,21744,21744,21803,22257
162,12,0,30200,0,0,Highland Beach,TOWN,Florida,3539,3539,3547,3580
162,12,0,30325,0,0,Highland Park,VILLAGE,Florida,230,230,230,233
162,12,0,30525,0,0,High Springs,CITY,Florida,5350,5344,5347,5391
162,12,0,30700,0,0,Hillcrest Heights,TOWN,Florida,254,254,254,257
162,12,0,30750,0,0,Hilliard,TOWN,Florida,3086,3086,3094,3123
162,12,0,30850,0,0,Hillsboro Beach,TOWN,Florida,1875,1875,1879,1910
162,12,0,31350,0,0,Holly Hill,CITY,Florida,11659,11659,11660,11663
162,12,0,32000,0,0,Hollywood,CITY,Florida,140768,140768,141095,143357
162,12,0,32150,0,0,Holmes Beach,CITY,Florida,3836,3836,3844,3888
162,12,0,32275,0,0,Homestead,CITY,Florida,60512,60512,60673,61940
162,12,0,32650,0,0,Horseshoe Beach,TOWN,Florida,169,169,169,170
162,12,0,32775,0,0,Howey-in-the-Hills,TOWN,Florida,1098,1103,1106,1118
162,12,0,33150,0,0,Hypoluxo,TOWN,Florida,2588,2588,2593,2618
162,12,0,33375,0,0,Indialantic,TOWN,Florida,2720,2720,2723,2721
162,12,0,33425,0,0,Indian Creek,VILLAGE,Florida,86,86,86,88
162,12,0,33450,0,0,Indian Harbour Beach,CITY,Florida,8225,8225,8231,8228
162,12,0,33600,0,0,Indian River Shores,TOWN,Florida,3901,3899,3906,3924
162,12,0,33625,0,0,Indian Rocks Beach,CITY,Florida,4113,4113,4112,4117
162,12,0,33675,0,0,Indian Shores,TOWN,Florida,1420,1420,1420,1421
162,12,0,33800,0,0,Inglis,TOWN,Florida,1325,1325,1323,1304
162,12,0,33900,0,0,Interlachen,TOWN,Florida,1403,1403,1401,1396
162,12,0,33950,0,0,Inverness,CITY,Florida,7210,7210,7212,7152
162,12,0,34132,0,0,"Islamorada,Village of Islands",VILLAGE,Florida,6119,6119,6128,6184
162,12,0,35000,0,0,Jacksonville,CITY,Florida,821784,821784,822883,827908
162,12,0,35050,0,0,Jacksonville Beach,CITY,Florida,21362,21362,21392,21523
162,12,0,35200,0,0,Jacob City,CITY,Florida,250,250,250,247
162,12,0,35375,0,0,Jasper,CITY,Florida,4546,4546,4537,4528
162,12,0,35425,0,0,Jay,TOWN,Florida,533,533,536,543
162,12,0,35525,0,0,Jennings,TOWN,Florida,878,878,875,869
162,12,0,35850,0,0,Juno Beach,TOWN,Florida,3176,3176,3183,3213
162,12,0,35875,0,0,Jupiter,TOWN,Florida,55156,55276,55394,55911
162,12,0,35900,0,0,Jupiter Inlet Colony,TOWN,Florida,400,400,401,404
162,12,0,35925,0,0,Jupiter Island,TOWN,Florida,817,817,817,823
162,12,0,36175,0,0,Kenneth City,TOWN,Florida,4980,4980,4977,4984
162,12,0,36300,0,0,Key Biscayne,VILLAGE,Florida,12344,12344,12378,12637
162,12,0,36325,0,0,Key Colony Beach,CITY,Florida,797,797,798,806
162,12,0,36475,0,0,Keystone Heights,CITY,Florida,1350,1350,1354,1362
162,12,0,36550,0,0,Key West,CITY,Florida,24649,24649,24687,24909
162,12,0,36950,0,0,Kissimmee,CITY,Florida,59682,59682,59917,61346
162,12,0,37225,0,0,LaBelle,CITY,Florida,4640,4659,4658,4653
162,12,0,37300,0,0,La Crosse,TOWN,Florida,360,360,360,364
162,12,0,37375,0,0,Lady Lake,TOWN,Florida,13926,13926,13965,14111
162,12,0,37525,0,0,Lake Alfred,CITY,Florida,5015,5015,5023,5077
162,12,0,37625,0,0,Lake Buena Vista,CITY,Florida,10,10,10,10
162,12,0,37650,0,0,Lake Butler,CITY,Florida,1897,1897,1899,1871
162,12,0,37775,0,0,Lake City,CITY,Florida,12046,12034,12050,12026
162,12,0,37800,0,0,Lake Clarke Shores,TOWN,Florida,3376,3376,3384,3415
162,12,0,37975,0,0,Lake Hamilton,TOWN,Florida,1231,1231,1233,1247
162,12,0,38025,0,0,Lake Helen,CITY,Florida,2624,2624,2625,2625
162,12,0,38250,0,0,Lakeland,CITY,Florida,97422,97419,97551,98589
162,12,0,38425,0,0,Lake Mary,CITY,Florida,13822,13822,13837,13900
162,12,0,38600,0,0,Lake Park,TOWN,Florida,8155,8155,8172,8248
162,12,0,38625,0,0,Lake Placid,TOWN,Florida,2223,2223,2223,2219
162,12,0,38950,0,0,Lake Wales,CITY,Florida,14225,14225,14245,14399
162,12,0,39075,0,0,Lake Worth,CITY,Florida,34910,34910,34984,35306
162,12,0,39375,0,0,Lantana,TOWN,Florida,10423,10423,10446,10543
162,12,0,39425,0,0,Largo,CITY,Florida,77648,77649,77622,77723
162,12,0,39475,0,0,Lauderdale-by-the-Sea,TOWN,Florida,6056,6056,6070,6168
162,12,0,39525,0,0,Lauderdale Lakes,CITY,Florida,32593,32593,32667,33191
162,12,0,39550,0,0,Lauderhill,CITY,Florida,66887,66887,67042,68117
162,12,0,39650,0,0,Laurel Hill,CITY,Florida,537,537,537,545
162,12,0,39700,0,0,Lawtey,CITY,Florida,730,730,730,721
162,12,0,39725,0,0,Layton,CITY,Florida,184,184,185,186
162,12,0,39750,0,0,Lazy Lake,VILLAGE,Florida,24,24,24,24
162,12,0,39850,0,0,Lee,TOWN,Florida,352,352,352,349
162,12,0,39875,0,0,Leesburg,CITY,Florida,20117,20125,20179,20390
162,12,0,40450,0,0,Lighthouse Point,CITY,Florida,10344,10344,10369,10536
162,12,0,40875,0,0,Live Oak,CITY,Florida,6850,6850,6848,6918
162,12,0,41150,0,0,Longboat Key,TOWN,Florida,6888,6888,6901,6953
162,12,0,41250,0,0,Longwood,CITY,Florida,13657,13657,13672,13732
162,12,0,41577,0,0,Loxahatchee Groves,TOWN,Florida,3180,3180,3186,3218
162,12,0,41825,0,0,Lynn Haven,CITY,Florida,18493,18493,18542,18607
162,12,0,41950,0,0,Macclenny,CITY,Florida,6374,6372,6369,6382
162,12,0,42150,0,0,McIntosh,TOWN,Florida,452,450,450,452
162,12,0,42400,0,0,Madeira Beach,CITY,Florida,4263,4263,4262,4267
162,12,0,42425,0,0,Madison,CITY,Florida,2843,2843,2845,2826
162,12,0,42575,0,0,Maitland,CITY,Florida,15751,15751,15792,16076
162,12,0,42625,0,0,Malabar,TOWN,Florida,2757,2757,2760,2758
162,12,0,42650,0,0,Malone,TOWN,Florida,2088,2088,2087,2081
162,12,0,42700,0,0,Manalapan,TOWN,Florida,406,406,407,411
162,12,0,42900,0,0,Mangonia Park,TOWN,Florida,1888,1888,1893,1910
162,12,0,43000,0,0,Marathon,CITY,Florida,8297,8297,8310,8387
162,12,0,43083,0,0,Marco Island,CITY,Florida,16413,16413,16475,16756
162,12,0,43125,0,0,Margate,CITY,Florida,53284,53284,53407,54270
162,12,0,43175,0,0,Marianna,CITY,Florida,6102,6103,6095,6043
162,12,0,43250,0,0,Marineland,TOWN,Florida,16,16,16,16
162,12,0,43375,0,0,Mary Esther,CITY,Florida,3851,3851,3851,3910
162,12,0,43425,0,0,Mascotte,CITY,Florida,5101,5105,5120,5175
162,12,0,43575,0,0,Mayo,TOWN,Florida,1237,1232,1237,1243
162,12,0,43900,0,0,Medley,TOWN,Florida,838,838,840,857
162,12,0,43975,0,0,Melbourne,CITY,Florida,76068,76068,76131,76095
162,12,0,44000,0,0,Melbourne Beach,TOWN,Florida,3101,3101,3104,3102
162,12,0,44075,0,0,Melbourne Village,TOWN,Florida,662,662,662,663
162,12,0,44300,0,0,Mexico Beach,CITY,Florida,1072,1072,1075,1078
162,12,0,45000,0,0,Miami,CITY,Florida,399457,399457,400509,408750
162,12,0,45025,0,0,Miami Beach,CITY,Florida,87779,87779,88012,89840
162,12,0,45060,0,0,Miami Gardens,CITY,Florida,107167,107167,107452,109680
162,12,0,45100,0,0,Miami Lakes,TOWN,Florida,29361,29361,29439,30057
162,12,0,45175,0,0,Miami Shores,VILLAGE,Florida,10493,10493,10519,10720
162,12,0,45200,0,0,Miami Springs,CITY,Florida,13809,13809,13845,14129
162,12,0,45225,0,0,Micanopy,TOWN,Florida,600,600,600,606
162,12,0,45425,0,0,Midway,CITY,Florida,3004,3004,3007,2987
162,12,0,45750,0,0,Milton,CITY,Florida,8826,8826,8864,8984
162,12,0,45900,0,0,Minneola,CITY,Florida,9403,9403,9431,9531
162,12,0,45975,0,0,Miramar,CITY,Florida,122041,122041,122327,124302
162,12,0,46500,0,0,Monticello,CITY,Florida,2506,2506,2505,2487
162,12,0,46525,0,0,Montverde,TOWN,Florida,1463,1463,1467,1482
162,12,0,46550,0,0,Moore Haven,CITY,Florida,1680,1680,1674,1643
162,12,0,47050,0,0,Mount Dora,CITY,Florida,12370,12370,12404,12534
162,12,0,47200,0,0,Mulberry,CITY,Florida,3817,3818,3824,3867
162,12,0,47625,0,0,Naples,CITY,Florida,19537,19537,19611,19939
162,12,0,48100,0,0,Neptune Beach,CITY,Florida,7037,7037,7047,7090
162,12,0,48200,0,0,Newberry,CITY,Florida,4950,4954,4955,4997
162,12,0,48500,0,0,New Port Richey,CITY,Florida,14911,14905,14932,14961
162,12,0,48625,0,0,New Smyrna Beach,CITY,Florida,22464,22471,22473,22481
162,12,0,48750,0,0,Niceville,CITY,Florida,12749,12749,12748,12941
162,12,0,48900,0,0,Noma,TOWN,Florida,211,211,210,210
162,12,0,49225,0,0,North Bay Village,CITY,Florida,7137,7137,7156,7305
162,12,0,49425,0,0,North Lauderdale,CITY,Florida,41023,41023,41118,41782
162,12,0,49450,0,0,North Miami,CITY,Florida,58786,58786,58939,60143
162,12,0,49475,0,0,North Miami Beach,CITY,Florida,41523,41523,41635,42504
162,12,0,49600,0,0,North Palm Beach,VILLAGE,Florida,12015,12015,12040,12153
162,12,0,49675,0,0,North Port,CITY,Florida,57357,57357,57448,57780
162,12,0,49725,0,0,North Redington Beach,TOWN,Florida,1417,1417,1416,1418
162,12,0,50450,0,0,Oak Hill,CITY,Florida,1792,1792,1793,1793
162,12,0,50525,0,0,Oakland,TOWN,Florida,2538,2538,2545,2590
162,12,0,50575,0,0,Oakland Park,CITY,Florida,41363,41363,41459,42126
162,12,0,50750,0,0,Ocala,CITY,Florida,56315,56315,56333,56517
162,12,0,50900,0,0,Ocean Breeze Park,TOWN,Florida,355,355,355,358
162,12,0,50950,0,0,Ocean Ridge,TOWN,Florida,1786,1786,1790,1806
162,12,0,51075,0,0,Ocoee,CITY,Florida,35579,35584,35674,36320
162,12,0,51200,0,0,Okeechobee,CITY,Florida,5621,5621,5629,5641
162,12,0,51350,0,0,Oldsmar,CITY,Florida,13591,13605,13600,13618
162,12,0,51650,0,0,Opa-locka,CITY,Florida,15219,15219,15259,15579
162,12,0,51825,0,0,Orange City,CITY,Florida,10599,10719,10721,10724
162,12,0,52125,0,0,Orange Park,TOWN,Florida,8412,8412,8436,8476
162,12,0,52175,0,0,Orchid,TOWN,Florida,415,415,416,418
162,12,0,53000,0,0,Orlando,CITY,Florida,238300,238304,238902,243195
162,12,0,53150,0,0,Ormond Beach,CITY,Florida,38137,38137,38142,38153
162,12,0,53500,0,0,Otter Creek,TOWN,Florida,134,134,134,132
162,12,0,53575,0,0,Oviedo,CITY,Florida,33342,33342,33381,33528
162,12,0,53800,0,0,Pahokee,CITY,Florida,5649,5649,5660,5712
162,12,0,53875,0,0,Palatka,CITY,Florida,10558,10558,10547,10514
162,12,0,54000,0,0,Palm Bay,CITY,Florida,103190,103190,103278,103227
162,12,0,54025,0,0,Palm Beach,TOWN,Florida,8348,8348,8366,8445
162,12,0,54075,0,0,Palm Beach Gardens,CITY,Florida,48452,48452,48556,49010
162,12,0,54150,0,0,Palm Beach Shores,TOWN,Florida,1142,1142,1144,1155
162,12,0,54200,0,0,Palm Coast,CITY,Florida,75180,75176,75430,76499
162,12,0,54250,0,0,Palmetto,CITY,Florida,12606,12606,12629,12774
162,12,0,54275,0,0,Palmetto Bay,VILLAGE,Florida,23410,23410,23473,23964
162,12,0,54425,0,0,Palm Shores,TOWN,Florida,900,900,900,900
162,12,0,54450,0,0,Palm Springs,VILLAGE,Florida,18928,18976,19016,19195
162,12,0,54700,0,0,Panama City,CITY,Florida,36484,36484,36576,36686
162,12,0,54725,0,0,Panama City Beach,CITY,Florida,12018,12018,12050,12092
162,12,0,55075,0,0,Parker,CITY,Florida,4317,4317,4329,4343
162,12,0,55125,0,0,Parkland,CITY,Florida,23962,23960,24017,24404
162,12,0,55475,0,0,Paxton,TOWN,Florida,644,644,648,654
162,12,0,55750,0,0,Pembroke Park,TOWN,Florida,6102,6102,6116,6214
162,12,0,55775,0,0,Pembroke Pines,CITY,Florida,154750,154750,155109,157594
162,12,0,55875,0,0,Penney Farms,TOWN,Florida,749,749,751,754
162,12,0,55925,0,0,Pensacola,CITY,Florida,51923,51923,51986,52197
162,12,0,56150,0,0,Perry,CITY,Florida,7017,6987,6990,7030
162,12,0,56425,0,0,Pierson,TOWN,Florida,1736,1736,1735,1738
162,12,0,56625,0,0,Pinecrest,VILLAGE,Florida,18223,18223,18273,18657
162,12,0,56975,0,0,Pinellas Park,CITY,Florida,49079,49104,49087,49150
162,12,0,57425,0,0,Plantation,CITY,Florida,84955,84955,85154,86524
162,12,0,57550,0,0,Plant City,CITY,Florida,34721,34714,34833,35817
162,12,0,57950,0,0,Polk City,TOWN,Florida,1562,1562,1564,1580
162,12,0,58025,0,0,Pomona Park,TOWN,Florida,912,912,911,908
162,12,0,58050,0,0,Pompano Beach,CITY,Florida,99845,99845,100070,101617
162,12,0,58175,0,0,Ponce de Leon,TOWN,Florida,598,598,596,598
162,12,0,58200,0,0,Ponce Inlet,TOWN,Florida,3032,3032,3033,3034
162,12,0,58575,0,0,Port Orange,CITY,Florida,56048,56505,56512,56529
162,12,0,58600,0,0,Port Richey,CITY,Florida,2671,2671,2675,2681
162,12,0,58675,0,0,Port St. Joe,CITY,Florida,3445,3445,3444,3440
162,12,0,58715,0,0,Port St. Lucie,CITY,Florida,164603,164603,165166,166149
162,12,0,59200,0,0,Punta Gorda,CITY,Florida,16641,16641,16657,16697
162,12,0,59325,0,0,Quincy,CITY,Florida,7972,7973,7979,7933
162,12,0,59400,0,0,Raiford,TOWN,Florida,255,255,255,251
162,12,0,59675,0,0,Reddick,TOWN,Florida,506,506,506,508
162,12,0,59725,0,0,Redington Beach,TOWN,Florida,1427,1427,1426,1428
162,12,0,59750,0,0,Redington Shores,TOWN,Florida,2121,2121,2120,2123
162,12,0,60975,0,0,Riviera Beach,CITY,Florida,32488,32488,32556,32861
